Week,S08000015,S08000016,S08000017,S08000029,S08000019,S08000020,S08000031,S08000022,S08000032,S08000024,S08000030
02/03/2020,0,0,0,0,0,0,0,0,0,0,0
09/03/2020,0,0.026315789,0,0.006289308,0.021052632,0.021352313,0.072897196,0,0.041269841,0.051391863,0.01863354
16/03/2020,0.130841121,0.065789474,0.171428571,0.075471698,0.157894737,0.042704626,0.201869159,0.098591549,0.120634921,0.064239829,0.093167702
23/03/2020,0.560747664,0.671052632,0.8,0.320754717,0.331578947,0.149466192,0.555140187,0.450704225,0.441269841,0.319057816,0.403726708
30/03/2020,0.626168224,1,1,0.987421384,0.673684211,0.508896797,1,0.816901408,1,0.790149893,1
06/04/2020,0.476635514,0.855263158,0.685714286,0.981132075,0.636842105,0.370106762,0.938317757,0.85915493,0.863492063,0.760171306,0.972049689
13/04/2020,1,0.460526316,0.557142857,1,1,0.629893238,0.998130841,0.492957746,0.847619048,1,0.804347826
20/04/2020,0.546728972,0.394736842,0.171428571,0.874213836,0.726315789,1,0.955140187,0.422535211,0.679365079,0.867237687,0.590062112
27/04/2020,0.453271028,0.197368421,0.1,0.610062893,0.6,0.569395018,0.930841121,1,0.720634921,0.661670236,0.465838509
04/05/2020,0.439252336,0.105263158,0.071428571,0.220125786,0.236842105,0.523131673,0.841121495,0.323943662,0.638095238,0.571734475,0.267080745
11/05/2020,0.299065421,0.315789474,0.028571429,0.06918239,0.215789474,0.434163701,0.491588785,0.126760563,0.466666667,0.402569593,0.298136646
18/05/2020,0.200934579,0.078947368,0.042857143,0.018867925,0.194736842,0.160142349,0.280373832,0.056338028,0.33015873,0.21627409,0.204968944
25/05/2020,0.196261682,0.039473684,0,0.056603774,0.073684211,0.117437722,0.106542056,0.042253521,0.136507937,0.096359743,0.037267081
01/06/2020,0.088785047,0.013157895,0.014285714,0.270440252,0.084210526,0.028469751,0.072897196,0.028169014,0.082539683,0.128479657,0.01863354
08/06/2020,0.060747664,0.013157895,0.085714286,0.13836478,0.063157895,0.028469751,0.059813084,0.014084507,0.107936508,0.102783726,0.01242236
15/06/2020,0.03271028,0.013157895,0.157142857,0.012578616,0.047368421,0.024911032,0.046728972,0,0.13015873,0.077087794,0.00310559
22/06/2020,0.023364486,-0.013157895,0,0.012578616,0.063157895,0.024911032,0.039252336,0.028169014,0.034920635,0.010706638,0.02173913
29/06/2020,0.009345794,0,0.142857143,0.012578616,0.042105263,0.024911032,0.018691589,0.014084507,0.025396825,0.014989293,0.01242236
06/07/2020,0.004672897,0,0.057142857,0.006289308,0.052631579,0.017793594,0.048598131,0.014084507,0.019047619,0.017130621,0.00931677